attack,rep,config,accuracy,f1
Noise SNR=10dB,8,MFCC only,0.7,0.7540983606557377
Noise SNR=10dB,8,All features,0.46,0.6301369863013698
Noise SNR=10dB,9,MFCC only,0.7,0.7457627118644068
Noise SNR=10dB,9,All features,0.46,0.6301369863013698
Noise SNR=10dB,10,MFCC only,0.7,0.7457627118644068
Noise SNR=10dB,10,All features,0.46,0.6301369863013698
BG Noise 20dB,1,MFCC only,0.82,0.7567567567567568
BG Noise 20dB,1,All features,0.46,0.6301369863013698
BG Noise 20dB,2,MFCC only,0.82,0.7567567567567568
BG Noise 20dB,2,All features,0.46,0.6301369863013698
BG Noise 20dB,3,MFCC only,0.86,0.8205128205128205
BG Noise 20dB,3,All features,0.46,0.6301369863013698
BG Noise 20dB,4,MFCC only,0.9,0.8780487804878049
BG Noise 20dB,4,All features,0.46,0.6301369863013698
BG Noise 20dB,5,MFCC only,0.86,0.8205128205128205
BG Noise 20dB,5,All features,0.46,0.6301369863013698
BG Noise 20dB,6,MFCC only,0.88,0.85
BG Noise 20dB,6,All features,0.46,0.6301369863013698
BG Noise 20dB,7,MFCC only,0.88,0.85
BG Noise 20dB,7,All features,0.46,0.6301369863013698
BG Noise 20dB,8,MFCC only,0.84,0.7894736842105263
BG Noise 20dB,8,All features,0.46,0.6301369863013698
BG Noise 20dB,9,MFCC only,0.84,0.7894736842105263
BG Noise 20dB,9,All features,0.46,0.6301369863013698
BG Noise 20dB,10,MFCC only,0.82,0.7567567567567568
BG Noise 20dB,10,All features,0.46,0.6301369863013698
BG Noise 10dB,1,MFCC only,0.76,0.6470588235294118
BG Noise 10dB,1,All features,0.46,0.6301369863013698
BG Noise 10dB,2,MFCC only,0.78,0.6857142857142857
BG Noise 10dB,2,All features,0.46,0.6301369863013698
BG Noise 10dB,3,MFCC only,0.82,0.7567567567567568
BG Noise 10dB,3,All features,0.46,0.6301369863013698
BG Noise 10dB,4,MFCC only,0.82,0.7567567567567568
BG Noise 10dB,4,All features,0.46,0.6301369863013698
BG Noise 10dB,5,MFCC only,0.8,0.7222222222222222
BG Noise 10dB,5,All features,0.46,0.6301369863013698
BG Noise 10dB,6,MFCC only,0.76,0.6470588235294118
BG Noise 10dB,6,All features,0.46,0.6301369863013698
BG Noise 10dB,7,MFCC only,0.84,0.7894736842105263
BG Noise 10dB,7,All features,0.46,0.6301369863013698
BG Noise 10dB,8,MFCC only,0.8,0.7222222222222222
BG Noise 10dB,8,All features,0.46,0.6301369863013698
BG Noise 10dB,9,MFCC only,0.78,0.6857142857142857
BG Noise 10dB,9,All features,0.46,0.6301369863013698
BG Noise 10dB,10,MFCC only,0.78,0.7027027027027027
BG Noise 10dB,10,All features,0.46,0.6301369863013698
